node,lon,lat,r,theta,degree,x_poincare,y_poincare
衡阳市,113.01735990599,27.0818382249248,4.774318553161155,4.879991104127852,19,0.16402496615529885,-0.969475997084398
郴州市,113.083223270108,25.7939151903484,4.7871355387816905,4.859999558591268,18,0.1446432643708412,-0.9727703702518699
宜昌市,111.297539631629,30.7360346040936,4.65737871238621,4.44327133534939,28,-0.26088128172521,-0.945878569054776
长沙市,113.707653948812,28.2313831927424,4.273149180823042,5.046257781670995,56,0.3186913479850863,-0.9188072403205376
北京市,116.227490884157,40.0259171266212,0.0,1.0134452265438174,205,0.0,0.0
枣庄市,117.134559464632,35.0624558613833,4.85071250072666,0.3447712461015495,13,0.926542184151299,0.33273451608849075
平凉市,107.434442604888,35.3497501188096,4.722702782160598,2.701922236313928,23,-0.8889428043316802,0.4181391030037522
江门市,113.023073621219,22.3861397197676,4.670516619197075,4.808420722608393,27,0.09410450222120754,-0.9769170256126763
永州市,112.182790982996,25.3152685454093,4.774318553161155,4.738028754195444,19,0.025207641126675614,-0.9829305536373683
杭州市,119.988013197321,30.3839617014695,3.6380343755449944,5.943752024353105,97,0.894608543434305,-0.31588571791604275
吴忠市,105.949371220712,37.9401256315853,4.8126671093981095,2.476642976513027,16,-0.7742612059107089,0.6070723685155076
银川市,106.485889016839,38.4670437528954,4.344254713942064,2.378408649982683,51,-0.7041178281215912,0.6735099496893998
渭南市,109.554116522329,34.5498270221185,4.735659467089594,2.637500982086486,22,-0.8603773689130937,0.4746075917315842
西安市,108.929976124431,34.2141816449441,3.7540827448129006,2.824000216259071,90,-0.9065072658325277,0.2979866800073299
大庆市,124.771554301858,46.6994177948191,4.735659467089594,0.8119022372494609,22,0.6761457302447881,0.7129716225340346
东营市,118.603581505857,37.4029132764302,4.888461805469018,0.5642113010642573,10,0.8323748733366705,0.5267532224020497
廊坊市,117.008466364236,39.9590553194739,4.428074427700476,0.9303850928596731,45,0.5834276688431843,0.7829318414954144
亳州市,116.209045063085,33.554730402311,4.550910273091032,0.08099204790500636,36,0.9758958473701927,0.07921308401411824
南京市,118.704369703908,32.0116680590757,3.86664976331667,6.10660799814462,83,0.9440894947603422,-0.1684592604046891
临汾市,111.370132534897,35.8683578790196,4.85071250072666,1.7965343475344717,13,-0.22035101302584328,0.9594988839321215
太原市,112.65748002304,37.8641552188097,4.021998332699218,1.4262624740874106,73,0.13896075707041639,0.9547367107066931
广安市,106.4099527207,30.538489143126,4.709710452779407,3.5890007421488277,24,-0.8854748539129255,-0.42490603728885784
青岛市,120.366476607918,36.068405978442,4.215401267155626,0.32833891822882144,60,0.9190309614778964,0.31308623707780586
巴彦淖尔市,108.066046196263,41.0402443996022,4.85071250072666,2.0344299374908754,13,-0.44025865342094717,0.8805481220787857
乌海市,106.69608725129,39.53032580085,4.863328159225298,2.2672600305678063,12,-0.6316739595266498,0.7553548689844943
包头市,110.203344693278,40.5761718492516,4.761467066719141,1.8075503245153222,20,-0.2305702303145029,0.9556165411538319
聊城市,115.768854853832,36.776097654951,4.799918299958294,0.7549511252351406,17,0.7164143887889112,0.6740653132513832
乌兰察布市,114.146528078625,41.9646518764115,4.863328159225298,1.3281903300425553,12,0.23655009748406147,0.9558331552226775
呼和浩特市,111.836854929394,40.9664920297576,4.630991085218428,1.589289943549966,30,-0.018135617459843573,0.980530207188825
通化市,125.707790901469,42.5310423053431,4.85071250072666,0.5964219705524396,13,0.8145067102931666,0.5529660894629123
汉中市,107.249988825162,33.2171570050475,4.74858079933817,3.14039335562145,21,-0.982820168011979,0.001178694795855237
昆明市,103.190203818762,24.9431779624766,3.9914123501612315,3.896412496065383,75,-0.7019709761188409,-0.6603019687101818
白银市,105.090086641222,35.9528588161428,4.82538223620577,2.762927606152557,15,-0.914367459911442,0.36379538292733465
邯郸市,115.23822846138,36.3016789935603,4.670516619197075,0.7589801680892378,27,0.7120715108628907,0.6754085398391553
日喀则市,88.9490154981454,29.2647978130401,4.888461805469018,3.311306297536402,10,-0.9708946472778119,-0.16637449011334204
绵阳市,105.469152466586,31.2439592761595,4.65737871238621,3.435046742953168,28,-0.9392501825627828,-0.28382107939241963
拉萨市,91.1613541889963,29.6632845075021,4.564354645876384,3.3104020250701924,35,-0.9654601571872344,-0.16454468799550626
眉山市,104.216403143474,29.9821568684816,4.85071250072666,3.535766224371195,13,-0.9089805863726256,-0.37808328554192866
资阳市,105.018981407116,30.3094933791216,4.799918299958294,3.5365606999528754,17,-0.907939387847934,-0.3784966195183164
遂宁市,105.706638151624,30.653381756412,4.735659467089594,3.5287650158210493,22,-0.9098677825296047,-0.37100161910931284
克孜勒苏柯尔克孜自治州,76.8566812348267,40.1248696966513,4.963099126672414,2.947246857866947,4,-0.9675502463566361,0.19044307843641337
阿克苏地区,81.2449458686174,40.3297482004782,4.774318553161155,2.9140064614682792,19,-0.9578994041339115,0.22184821388717949
新乡市,113.90133906968,35.3387459096234,4.65737871238621,0.8362920307955122,28,0.6576164446495263,0.7282073346775736
石家庄市,114.577670471648,38.0087539079322,4.08248290463863,1.074557349014789,69,0.4603278254796104,0.8502090398264082
福州市,119.455829586306,26.5022325482712,3.9914123501612315,5.551756538122856,75,0.7172227092780956,-0.6437029800238371
三亚市,109.374489685006,18.4359240152088,4.65737871238621,4.537825213747332,28,-0.1704126742394848,-0.9662840322649683
海口市,110.331603831937,19.8676255433765,4.358336613802987,4.5894581018351115,50,-0.11952213424639059,-0.9673684540448981
嘉兴市,120.83600881514,30.7139465904903,4.20084025208403,6.008299485647929,61,0.9340410125361046,-0.2634232448018589
